LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
688.0,5.805587073352783e-06,5.571064469333684e-08
689.0,5.809190455291406e-06,5.58545100578056e-08
690.0,5.803376610408291e-06,5.60498683848731e-08
691.0,5.786294473321093e-06,5.604470948901958e-08
692.0,5.769533021484416e-06,5.5592099179239604e-08
693.0,5.767273482742865e-06,5.581599426053285e-08
694.0,5.769625679456565e-06,5.646766934188429e-08
695.0,5.767104059481916e-06,5.6512774629908094e-08
696.0,5.753113085600405e-06,5.581030873145837e-08
697.0,5.729120426681334e-06,5.5126994918828286e-08
698.0,5.708575320803035e-06,5.500859793910791e-08
699.0,5.6963072249726724e-06,5.506054909842921e-08
700.0,5.672262192970643e-06,5.491632436639634e-08
701.0,5.637618351101323e-06,5.4444832750592735e-08
702.0,5.620794749946079e-06,5.433851002781282e-08
703.0,5.631638908842159e-06,5.424306277216862e-08
704.0,5.656669183636811e-06,5.4266657675840454e-08
705.0,5.6733801526815165e-06,5.434037516705097e-08
706.0,5.67324623077415e-06,5.451245255522794e-08
707.0,5.660664060982414e-06,5.4227315441874064e-08
708.0,5.645205081456218e-06,5.4024276944546077e-08
709.0,5.633552007954575e-06,5.3837442964608925e-08
710.0,5.624500520365075e-06,5.368718288139907e-08
711.0,5.611402143649622e-06,5.3453767521021294e-08
712.0,5.591880250972189e-06,5.3288205729985325e-08
713.0,5.575850789716009e-06,5.310664499750211e-08
714.0,5.5659373365934705e-06,5.303019692359271e-08
715.0,5.555015615383906e-06,5.289832432262484e-08
716.0,5.5425360970151406e-06,5.275521372436638e-08
717.0,5.526748433335273e-06,5.256006247098006e-08
718.0,5.500221126670901e-06,5.2325437707388095e-08
719.0,5.471756868672813e-06,5.202046525600528e-08
720.0,5.4578449193366935e-06,5.192613553477288e-08
721.0,5.459321975258886e-06,5.1870855219869965e-08
722.0,5.4685460595355854e-06,5.19431994133399e-08
723.0,5.482847912597405e-06,5.204658403965975e-08
724.0,5.493760199894243e-06,5.220293583815956e-08
