Date	21-01-20
Spectrometer	QEB1691
Lamp SN	F1402-5
Int. Time(usec)	750000
Average	0
	0
Fiber (micron)	 3900 
	
[uJoule/count]
726.26240	2.4988405E-05
727.02270	2.5014337E-05
727.78280	2.5030195E-05
728.54290	2.5048421E-05
729.30290	2.5071287E-05
730.06280	2.5092923E-05
730.82270	2.5103880E-05
731.58240	2.5117718E-05
732.34210	2.5144707E-05
733.10170	2.5175166E-05
733.86120	2.5199252E-05
734.62060	2.5220425E-05
735.38000	2.5245253E-05
736.13920	2.5277564E-05
736.89840	2.5308000E-05
737.65750	2.5327529E-05
738.41650	2.5344278E-05
739.17540	2.5371308E-05
739.93430	2.5397519E-05
740.69300	2.5415874E-05
741.45170	2.5429639E-05
742.21030	2.5454244E-05
742.96880	2.5498332E-05
743.72730	2.5548050E-05
744.48560	2.5594556E-05
745.24390	2.5645237E-05
746.00210	2.5705912E-05
746.76020	2.5772522E-05
747.51820	2.5830164E-05
748.27610	2.5874847E-05
749.03390	2.5921959E-05
749.79170	2.5978833E-05
750.54940	2.6026020E-05
751.30700	2.6053175E-05
752.06450	2.6068128E-05
752.82190	2.6087675E-05
753.57930	2.6115677E-05
754.33660	2.6135242E-05
755.09370	2.6147386E-05
755.85080	2.6164952E-05
756.60780	2.6201450E-05
757.36480	2.6249025E-05
758.12160	2.6292446E-05
758.87840	2.6332978E-05
759.63510	2.6374578E-05
760.39170	2.6425323E-05
761.14820	2.6480781E-05
761.90460	2.6528007E-05
762.66090	2.6568478E-05
763.41720	2.6612830E-05
764.17340	2.6666625E-05
764.92950	2.6723496E-05
765.68550	2.6773014E-05
766.44140	2.6820287E-05
767.19720	2.6874631E-05
767.95300	2.6942670E-05
768.70870	2.7017232E-05
769.46430	2.7084967E-05
770.21980	2.7145104E-05
770.97520	2.7204336E-05
771.73050	2.7272269E-05
772.48580	2.7343381E-05
773.24090	2.7410005E-05
773.99600	2.7470177E-05
774.75100	2.7527259E-05
775.50590	2.7589634E-05
776.26070	2.7658514E-05
777.01550	2.7721766E-05
777.77010	2.7779414E-05
778.52470	2.7839967E-05
779.27920	2.7912433E-05
780.03360	2.7998857E-05
780.78790	2.8086292E-05
781.54210	2.8172553E-05
782.29630	2.8261152E-05
783.05030	2.8360489E-05
783.80430	2.8470083E-05
784.55820	2.8576977E-05
785.31200	2.8675756E-05
786.06570	2.8765660E-05
786.81940	2.8850301E-05
787.57290	2.8935041E-05
788.32640	2.9020438E-05
789.07980	2.9098297E-05
789.83310	2.9167649E-05
790.58630	2.9225370E-05
791.33940	2.9279044E-05
792.09240	2.9339610E-05
792.84540	2.9405921E-05
793.59820	2.9475868E-05
794.35100	2.9550260E-05
795.10370	2.9625914E-05
795.85630	2.9705675E-05
796.60880	2.9799992E-05
797.36130	2.9898739E-05
798.11360	2.9993602E-05
798.86590	3.0085823E-05
799.61810	3.0172585E-05
800.37020	3.0261922E-05
801.12220	3.0353458E-05
801.87410	3.0451908E-05
802.62590	3.0554268E-05
803.37770	3.0649081E-05
804.12940	3.0733404E-05
804.88090	3.0821434E-05
805.63240	3.0925067E-05
806.38380	3.1044613E-05
807.13520	3.1161320E-05
807.88640	3.1256428E-05
808.63750	3.1335495E-05
809.38860	3.1421571E-05
810.13960	3.1527538E-05
810.89050	3.1646186E-05
811.64130	3.1758160E-05
812.39200	3.1844554E-05
813.14260	3.1905080E-05
813.89310	3.1971037E-05
814.64360	3.2068322E-05
815.39400	3.2186563E-05
816.14420	3.2303990E-05
816.89440	3.2394704E-05
817.64450	3.2455326E-05
818.39460	3.2517952E-05
819.14450	3.2618946E-05
819.89430	3.2757909E-05
820.64410	3.2889822E-05
821.39380	3.2978279E-05
822.14330	3.3034381E-05
822.89280	3.3098371E-05
823.64220	3.3200490E-05
824.39160	3.3335909E-05
825.14080	3.3474114E-05
825.89000	3.3574015E-05
826.63900	3.3628904E-05
827.38800	3.3684206E-05
828.13690	3.3776578E-05
828.88570	3.3912574E-05
829.63440	3.4060395E-05
830.38300	3.4165218E-05
831.13150	3.4219098E-05
831.88000	3.4267447E-05
832.62840	3.4358828E-05
833.37660	3.4499531E-05
834.12480	3.4656281E-05
834.87290	3.4777383E-05
835.62090	3.4836349E-05
836.36880	3.4880940E-05
837.11670	3.4973256E-05
837.86440	3.5135690E-05
